Loyalty Number,Total Flights Overall,Total Distance,Total Points Earned,Total Points Redeemed,Total Redemption Value,Inactive Months,Engagement Score,Customer Tenure,CLV,Salary,Loyalty Card,Education,Marital Status,Gender,Province,Cancelled,Avg Flights Per Month,Overall Redemption Ratio,Inactivity Percentage,Value Per Flight,Churn Risk,Value Segment,Engagement Segment,Customer Type,Recommended Action
100018,46,81190,81190.0,1513,272,6,0.9657708333333334,2,7919.2,92552.0,Aurora,Bachelor,Married,Female,Alberta,0,1.84,0.0186350703895752,0.08333333333333333,168.4936170212766,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
100102,51,68918,68918.0,1195,215,7,0.9099041666666667,5,2887.74,,Nova,College,Single,Male,Ontario,0,0.8360655737704918,0.01733919528722123,0.09722222222222222,55.53346153846154,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100140,47,72856,72856.0,593,107,7,0.8511833333333333,2,2838.07,,Nova,College,Divorced,Female,British Columbia,0,1.88,0.008139231645552246,0.09722222222222222,59.12645833333334,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100214,22,38236,38236.0,861,155,15,-0.5526916666666667,3,4170.57,63253.0,Star,Bachelor,Married,Male,British Columbia,0,0.5945945945945946,0.022517456913460784,0.20833333333333334,181.3291304347826,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
100272,37,54997,54997.0,1007,182,11,0.19789791666666667,4,6622.05,91163.0,Star,Bachelor,Divorced,Female,Ontario,0,0.7551020408163265,0.018309756718426124,0.1527777777777778,174.26447368421054,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100301,41,62849,62849.0,1381,249,8,0.58030625,5,48356.96,70323.0,Nova,Bachelor,Divorced,Male,Ontario,0,0.6721311475409836,0.021972951471758154,0.1111111111111111,1151.3561904761905,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
100364,33,45955,45955.0,559,101,12,-0.025281249999999995,3,5143.88,76849.0,Nova,Bachelor,Married,Male,Saskatchewan,0,0.8918918918918919,0.012163808860649317,0.16666666666666666,151.2905882352941,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100380,33,55270,55270.0,1142,206,9,0.2829375,6,2465.62,69695.0,Star,Bachelor,Single,Female,Quebec,0,0.4520547945205479,0.020661829892710464,0.125,72.51823529411764,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100428,35,58281,58281.0,1658,298,10,0.2600895833333333,6,5845.43,63478.0,Aurora,Bachelor,Married,Male,British Columbia,0,0.4794520547945205,0.02844789128718987,0.1388888888888889,162.37305555555557,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100504,19,27837,27837.0,0,0,18,-0.9301854166666667,1,8807.61,75638.0,Nova,Bachelor,Divorced,Female,Ontario,1,1.4615384615384615,0.0,0.25,440.38050000000004,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
